Løpende nr,Lagring boksnr-plassnr,Lagring plassnr,PrøveID-(eksternt)-eller-PJS-nummer-(VI-internt),Andre nummer,Bakterie art/stamme,Art (vert),Prosjekt,Prioritert? (Ja/Nei),BESTILLER (epost for svar),"Skal DNA ekstraheres 
(Ja/Nei)",DNA ekstraksjon startdato,"Nanodrop, ng/µL",A260/A280,A260/A230 (2.0-2.2),"Qubit,  ng/µL","DNA ekstraksjon/måling,
link","Library Prep, startdato link (LPååååmmddINITIALER)","MS/NS run # 
link",Dato sekvensert 1.gang,Kommentarer,Faktura,Dato sekvensert 2.gang,Kommentarer 2,DNA ekstrakt kastet (dato) eller sendt,Unnamed: 25,Qubit (gammel)
1,1-Jan,,2019-01-3425-1,M-5.1,E. coli,,"MATRIX, co",,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
2,2-Jan,,2019-01-3425-2,M-5.2,E. coli,,"MATRIX, co",,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
3,3-Jan,,2019-01-3425-3,M-5.3,E. coli,,"MATRIX, co",,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
4,4-Jan,,2019-01-3425-4,M-5.4,E. coli,,"MATRIX, OXA-48",,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
5,5-Jan,,2019-01-3425-6,M-5.6,E. coli,,"MATRIX, co",,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
6,6-Jan,,2019-01-3425-7,M-5.7,E. coli,,"MATRIX, co",,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
7,7-Jan,,2019-01-3425-8,M-5.8,E. coli,,"MATRIX, CARBA",,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
8,8-Jan,,2019-01-82,,E. coli,,NORM-VET,,,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,Okt-20/CAB,,,1/11/2021,,
9,9-Jan,,,"EURL-VTEC_PT26_740, NVI-733",E. coli,,"STEC - PT26, NRL",,11/25/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,SEQ-TECH,,,1/11/2021,,
10,10-Jan,,,"EURL-VTEC_PT26_2665, NVI-734",E. coli,,"STEC - PT26, NRL",,11/25/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,SEQ-TECH,,,1/11/2021,,
